Predicted,Actual
0.7812,0.694
2.9108999999999994,3.022
1.3717,1.469
0.8556000000000001,0.753
2.8966000000000003,2.73
1.7379000000000002,1.746
0.6346,0.325
4.487902,4.7
1.0937,1.135
2.5349000000000004,2.579
4.897008999999997,5.00001
3.1612999999999998,3.191
3.5927000000000007,3.75
3.509999999999999,3.51
3.9952000000000005,3.804
5.0000100000000005,5.00001
2.2307,2.175
2.1572,2.15
1.9745000000000001,2.4
0.8153999999999998,0.813
4.498406,5.00001
3.3137009999999996,2.989
2.3061000000000003,2.821
2.2949000000000006,2.048
2.506,2.686
1.1347,0.913
0.8051,0.702
1.8646,1.59
1.6279,1.647
1.0267,0.966
1.4793,1.618
0.6242,0.675
1.2563000000000002,1.278
2.684201,2.5
4.702106040947941,5.00001
5.000009999999994,5.00001
1.0246,1.062
1.2278,1.156
1.2833,1.24
2.1148,1.943
0.8305999999999998,0.722
0.8856999999999999,0.869
2.0689,2.188
3.9181000000000004,3.975
1.5192,1.964
2.2700000000000005,2.184
2.2618,2.262
2.994901,3.24
1.9847000000000001,2.092
0.9157,0.84
1.4799,1.472
1.4027000000000003,1.406
2.0971,1.35
1.517,1.52
1.7953000000000003,1.83
1.0553000000000001,1.271
3.8070999999999993,3.83
1.3283,1.236
3.6541009999999994,3.842
2.0431999999999997,2.209
1.9845000000000002,1.951
1.6646999999999998,1.657
2.0873999999999997,1.95
1.3100999999999998,1.321
2.8743000000000003,2.794
1.2658,1.182
1.9533999999999998,2.032
1.7213,1.622
1.1946999999999999,1.004
1.001,1.013
1.4257,1.5
2.3994999999999997,2.258
1.7171999999999996,1.597
2.0401000000000002,1.812
2.8126,2.74
1.4776999999999998,1.421
1.2670999999999997,1.219
3.1938010000000006,2.417
2.4301000000000004,2.39
1.8778000000000001,1.8
1.5521000000000003,1.544
2.0241999999999996,2.029
1.1897000000000002,1.227
0.6079000000000001,0.57
0.9618,0.985
2.5513999999999997,2.609
1.6428999999999998,1.69
3.5155000000000003,3.346
2.2100000000000004,2.239
1.5112,1.625
0.9649000000000003,0.685
2.1295,2.213
2.0590999999999995,2.205
1.6550999999999998,1.571
1.4049999999999998,1.402
4.830709000000001,5.00001
1.6914000000000002,1.689
1.2331999999999996,1.396
2.662,3.058
1.5647999999999997,1.642
1.7420000000000002,1.701
0.7048,0.71
2.6239,2.634
1.703,1.755
1.7686,2.072
1.4708,1.397
1.7300000000000004,1.745
3.049802,2.458
0.8404999999999999,0.833
3.8958,4.5
1.0564,1.0
1.7608000000000001,1.843
1.4469,1.475
2.1316,1.42
0.9066000000000001,0.559
2.7923,2.896
1.2247999999999997,1.222
0.8315000000000001,0.875
0.7642,0.587
2.9459,2.898
2.2112,2.241
1.2721000000000002,1.233
4.640607657142857,5.00001
0.6034,0.519
1.9329,1.9
1.8427,1.713
1.8329999999999997,1.898
1.9643000000000002,2.009
3.392701,3.353
1.3313000000000001,1.278
1.7591999999999999,1.693
3.2826999999999997,3.613
